list_date,company,location,title,link,status,description
2023-01-24,Zortech Solutions,"Dallas, TX",Python SDET-US,https://www.linkedin.com/jobs/view/python-sdet-us-at-zortech-solutions-3450550606?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=yAIFLnYtQUKXV%2BDSU5hkUQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"PYTHON IN DESCRIPTION --- Role: Python SDET

Location: Dallas, TX/Remote

Duration: 6+ Months



Revised JD for RMT SDET w/Python experience:

6 - 10 years of experience as an SDET

Strong Python development experience with Python, Pytest. Experience with other Automation Test Frameworks and Tools is also beneficial.

Strong knowledge and hands on working experience on AWS services such as (S3, Lambda, Redshift).

Experience in serverless architecture.

Experience on working git lab, docker, dynamo Db, AWS or git pipelines

Good Knowledge on API gateway automation

Must have experience on GIT or GitHub repo tools

Nice to have experience on BDD framework

Should be able to develop test cases and test execution from Manual testing perspective

Should have knowledge on any test management tool

Have Strong Verbal / Nonverbal communication skills

Excellent team player and ability to collaborate with peers

Experience in Software Design and Development with a degree in Computer Science preferred.
Show more"
2023-01-24,Zortech Solutions,"Dallas, TX",Automation Engineer / SDET-US,https://www.linkedin.com/jobs/view/automation-engineer-sdet-us-at-zortech-solutions-3450547893?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=LJ9MUc3HvxUi5sGBX6fCuA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"PYTHON IN DESCRIPTION --- Role: Automation Engineer / SDET

Location: Dallas, TX/Remote

Duration: 6+ Months



6 - 10 years of overall SDET or Development experience.

Development experience with Core Java, Python

Experience in scripting with QA tools such as Selenium, Serenity BDD with Screen Play pattern

Experience on AWS services such as Lambda, S3, Workflow APIs.

Experience on working GitLab, Dynamo DB, AWS and CI/CD pipelines, SonarQube

Expertise in BDD and Page Object automation framework

Hands-on experience with Web Services Automation using RESTAssured, Karate framework

Should be able to develop test cases and test execution from Manual testing perspective which will encompass all functionalities of services as prequel of automation.

Should have knowledge on Jira or any test management tool

Have Strong Verbal / Nonverbal Communication Skills

Proficient in QA methodologies, software testing principles, concepts, verification/validation techniques, and test management

Good to have experience with JavaScript, Cypress

Good to have knowledge on SQL

Good knowledge on providing Continuous Integration with Integrating Build deployments using tools like Jenkins/Docker/Bit bucket/Open Shift

Experienced in Agile/Scrum/Kanban methodologies

Ability to cross-platform analysis and troubleshooting

Excellent team player and ability to collaborate with peers

Experience with regression, usability, sanity and functional testing methods

Experience working closely with development and business teams to communicate impacts and understanding business requirements.
Show more"
2023-01-27,The Walt Disney Company,"Emeryville, CA",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-the-walt-disney-company-3453116452?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=7L0%2B6q9oOB8br7acaQamiA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"The Quality Assurance (QA) team within Pixar Software R&D owns the quality of internally-developed software delivered to Pixar's artists. Additionally, the QA team is responsible for ensuring high-quality public releases of Pixar's open source Universal Scene Description (USD) project. The team is growing to tackle additional USD support responsibilities. We are looking for candidates with a strong understanding of cross-platform testing methodologies and a desire to engage and support the USD community in addition to artists at Pixar.





The hiring range for this position in Emeryville is $129,540.00 to $167,640.00 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors.
Show more"
2023-01-25,The Select Group,Raleigh-Durham-Chapel Hill Area,SDET,https://www.linkedin.com/jobs/view/sdet-at-the-select-group-3453939270?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=KG9gdoGcPlalFT9N1C8jew%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"SDET/Full-Stack:

The Select Group is partnering with an industry leading financial services client to bring on an SDET/Full-Stack Engineer. On this project, you will be supporting the Life Insurance Technology team in Personal Investing, working on customer-facing applications. Please note this role will require 3 days per month on-site at one of the following locations (Westlake, TX/Raleigh-Durham, NC/Merrimack, NH). If the below sounds like you, apply today!





Show more"
2023-01-24,Capgemini,"Smithfield, RI",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-capgemini-3448334393?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=hh26s12PHKN2Tsb09qjuzQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Job Title: Software Engineer in Test
Location: Smithfield, RI (Onsite)
Type: Fulltime
Job Description:
· Proven background in software development software quality engineering agile SCRUM test-driven development continuous integration and automated testing
Show more"
2023-01-23,Innova Solutions,"Morrisville, NC",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-innova-solutions-3449822622?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=qB1iwStAjqypNAe7LrFeGg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,"*Please note NO 3rd party Vendors*
*US Citizens & Green Card ONLY*

(SDET) Software Developer in Test – Morrisville, NC - HYBRID
Hybrid Schedule in Morrisville, NC – 2 Days a Week Onsite
Show more"
2023-01-27,Mapout Digital solutions inc,"St Louis, MO","SDET Automation Engineer at St Louis, MO (Onsite from day 1)",https://www.linkedin.com/jobs/view/sdet-automation-engineer-at-st-louis-mo-onsite-from-day-1-at-mapout-digital-solutions-inc-3453171288?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=T60JuzEAtSSR1zMIpi6ihg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,"SDET Automation Engineer

St Louis, MO (Onsite from day 1)

Key Skills: Automation, Automation framework development, Java, Selenium, Rest Assured, SQL




Show more"
2023-01-27,Verra Mobility,"Jersey City, NJ",Senior Software Developer in Test (SDET),https://www.linkedin.com/jobs/view/senior-software-developer-in-test-sdet-at-verra-mobility-3411950711?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=jyYIV%2FYq7elQGSDqjeXA1g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Please note: This position will require you to report to either our Jersey City, NJ office or Mesa, AZ office 2 times a week. Please be sure that if you are applying that you are local to one of these offices.

Who We Are...





Show more"
2023-01-25,Atlassian,"New York, United States",Software Development Engineer in Test - Trello,https://www.linkedin.com/jobs/view/software-development-engineer-in-test-trello-at-atlassian-3419630870?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=1FqSMlyUxbSMs0jTc3bj8A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Working at Atlassian

Atlassian can hire people in any country where we have a legal entity. Assuming you have eligible working rights and a sufficient time zone overlap with your team, you can choose to work remotely or from an office (unless it’s necessary for your role to be performed in the office). Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

As a Software Development Engineer in Test, you will develop and maintain software to test the product. You should have a solid foundation in test architecture as well as in-depth knowledge of quality assurance. A candidate will implement automation test strategy and help educate developers on the creation of acceptance test automation. Additionally, you will have opportunities to recommend improvements to existing tools and processes in order to improve quality, efficiency and speed of the team.






At Atlassian, we tie our base pay ranges to role and level. In the United States, that means your base pay ranges will fall into one of three geographic pay zones depending on your location. Our current base pay ranges for new hires in each zone are:

Zone A: $130,800 - $200,700

Zone B: $117,700 - $180,600

Zone C: $108,600 - $166,600

Within each range, base pay is ultimately determined based on your skills, expertise, and experience. This role may also be eligible for benefits, bonuses, commissions, and/or equity.

Please see here for more information on which locations are included in each of our geographic pay zones. However, please confirm the zone for your specific location with your recruiter.


To support you at work and play, our perks and benefits include ample time off, an annual education budget, paid volunteer days, and so much more.


The world’s best teams work better together with Atlassian. From medicine and space travel, to disaster response and pizza deliveries, Atlassian software products help teams all over the planet. At Atlassian, we're motivated by a common goal: to unleash the potential of every team .

We believe that the unique contributions of all Atlassians create our success. To ensure that our products and culture continue to incorporate everyone's perspectives and experience, we never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status. All your information will be kept confidential according to EEO guidelines.

To learn more about our culture and hiring process, explore our Candidate Resource Hub .
Show more"
2023-01-27,Arohak Inc.,"Boston, MA",Senior SDET,https://www.linkedin.com/jobs/view/senior-sdet-at-arohak-inc-3453510480?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=ougoXnr8VBtgL1IyUe0V6w%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Hello,

Hope you are doing great today!

I am Vijaya Karuna from ZumeIT, I have an exciting opportunity with my client that matches your skillset. If you are available and interested, please contact me at your earliest convenience. You will be working with a highly skilled team of professionals in a high paced corporate environment. This opportunity will move quickly, so please reply immediately









our UI platforms

--



| 24155 Drake Rd, Suite #203| Farmington Hills| MI 48335

| | ;/a>
Show more"
2023-01-23,Compunnel Inc.,"Durham, NC",Software Engineer in Test,https://www.linkedin.com/jobs/view/software-engineer-in-test-at-compunnel-inc-3450196445?refId=5JGdPHcfi41A4spp44F9JQ%3D%3D&trackingId=GvjMWTmbORJ94rlyUBqfcg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,"Note:


Need someone who have exp with JAVA and used for code developemt not for testing purpose only.



Show more"
