district,district_link,locale,locale_link,address
alaska,https://directory.iglesianicristo.net/districts/alaska,anchorage,https://directory.iglesianicristo.net/locales/anchorage,"1441 Bragaw St.
Anchorage, AK
99508, United States"
alaska,https://directory.iglesianicristo.net/districts/alaska,dutch-harbor-unalaska-gws,https://directory.iglesianicristo.net/locales/dutch-harbor-unalaska-gws,"27 N 6th St
Unalaska , AK
99504, USA"
alaska,https://directory.iglesianicristo.net/districts/alaska,east-anchorage-alaska,https://directory.iglesianicristo.net/locales/east-anchorage-alaska,"6311 De Barr Road
Anchorage, AK
99504, USA"
alaska,https://directory.iglesianicristo.net/districts/alaska,fairbanks-alaska,https://directory.iglesianicristo.net/locales/fairbanks-alaska,"3532 International St.
Fairbanks,
99701, AK"
alaska,https://directory.iglesianicristo.net/districts/alaska,juneau-alaska,https://directory.iglesianicristo.net/locales/juneau-alaska,"5334 Shanne Drive
Juneau, AK
99801, USA"
alaska,https://directory.iglesianicristo.net/districts/alaska,ketchikan-alaska,https://directory.iglesianicristo.net/locales/ketchikan-alaska,"308 Grant street,

Ketchikan,, Alaska
99801, United States of America"
alaska,https://directory.iglesianicristo.net/districts/alaska,kodiak-alaska,https://directory.iglesianicristo.net/locales/kodiak-alaska,"211 Bartel Avenue
Kodiak,, Alaska
99615, United States of America"
alaska,https://directory.iglesianicristo.net/districts/alaska,north-anchorage-alaska,https://directory.iglesianicristo.net/locales/north-anchorage-alaska,"6311 Debarr Rd
Suite L-2
Anchorage, Alaska
99504, United States of America"
alaska,https://directory.iglesianicristo.net/districts/alaska,north-pole-alaska,https://directory.iglesianicristo.net/locales/north-pole-alaska,"3532 International St. Fairbanks
North pole, Alaska
99701, AK"
alaska,https://directory.iglesianicristo.net/districts/alaska,sitka-alaska,https://directory.iglesianicristo.net/locales/sitka-alaska,"601 Alice Loop
Sitka,
Alaska, Alaska"
alaska,https://directory.iglesianicristo.net/districts/alaska,south-anchorage-alaska,https://directory.iglesianicristo.net/locales/south-anchorage-alaska,"FINLANDIA HALL -
8225 Spring Street
Anchorage, Alaska
99518 , USA"
alaska,https://directory.iglesianicristo.net/districts/alaska,west-anchorage-alaska,https://directory.iglesianicristo.net/locales/west-anchorage-alaska,"1441 Bragaw St.
Anchorage, Alaska
99504, USA"
brazil,https://directory.iglesianicristo.net/districts/brazil,petropolis-brazil,https://directory.iglesianicristo.net/locales/petropolis-brazil,"Rua Mario Gelli 239
Casa 8A Duarte da Silveira
Bingen Petropolis, Rio de Janeiro
CEP 2566-5455, Brazil"
brazil,https://directory.iglesianicristo.net/districts/brazil,piabeta-brazil,https://directory.iglesianicristo.net/locales/piabeta-brazil,"Rua Baulio Vidal, 612, Parque do Artia
Rio De Janeiro,
25919-, Brazil"
brazil,https://directory.iglesianicristo.net/districts/brazil,pimentas-brazil,https://directory.iglesianicristo.net/locales/pimentas-brazil,"Rua Teresa Ackel, 1038
Parque Sao Miguel
Guarulhos - SP,
, Brazil"
brazil,https://directory.iglesianicristo.net/districts/brazil,rio-de-janeiro-brazil,https://directory.iglesianicristo.net/locales/rio-de-janeiro-brazil,"Rua Tupirama 201
Jardim Carioca, Rio de Janeiro
21921-590, Brazil"
brazil,https://directory.iglesianicristo.net/districts/brazil,sao-conrado-gws,https://directory.iglesianicristo.net/locales/sao-conrado-gws,"Via Apia
da Rocinha
Travessa #3, Rio De Janerio
, Brazil"
brazil,https://directory.iglesianicristo.net/districts/brazil,sao-paulo-brazil,https://directory.iglesianicristo.net/locales/sao-paulo-brazil,"Rua Zequinha de Abreu
320 Jardim Pinhal
Guarulhos, Sao Paulo
07129-050, Brasil"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,abbotsford-british-columbia,https://directory.iglesianicristo.net/locales/abbotsford-british-columbia,"3106 Clearbook Rd
Abbotsford, BC
V2T 4B9, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,burnaby-british-columbia,https://directory.iglesianicristo.net/locales/burnaby-british-columbia,"5060 Marine Drive
Burnaby, British Columbia
V5J-3G6, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,chilliwack-bc-gws,https://directory.iglesianicristo.net/locales/chilliwack-bc-gws,"46 - 8295, Nixon Road
Chilliwack, British Columbia
V4Z 0C8, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,delta-british-columbia,https://directory.iglesianicristo.net/locales/delta-british-columbia,"Church of Christ
9316-116 Street
Delta, British Columbia
V4C-5W9, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,east-vancouver-british-columbia,https://directory.iglesianicristo.net/locales/east-vancouver-british-columbia,"3333
Kaslo Street
Vancouver, British Columbia
V5M-2M1, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,guildford-bc,https://directory.iglesianicristo.net/locales/guildford-bc,"15145 68 Ave
Surrey, British Columbia
V4N 6G8, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,kelowna-bc,https://directory.iglesianicristo.net/locales/kelowna-bc,"201 B 880 Badke Rd.,
Kelowna, British Columbia
V1X 5Z6, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,langley,https://directory.iglesianicristo.net/locales/langley,"15145 68 Ave
Surrey, British Columbia
V3S 2B8, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,maple-ridge-british-columbia,https://directory.iglesianicristo.net/locales/maple-ridge-british-columbia,"20601 Westfield Ave.
Maple Ridge, BC
V2X 1L7, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,nanaimo-british-columbia,https://directory.iglesianicristo.net/locales/nanaimo-british-columbia,"223 Mills St.
Parksville, British Columbia
V9P 2N5, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,new-wesminster-british-columbia,https://directory.iglesianicristo.net/locales/new-wesminster-british-columbia,"Burnaby Chapel
5060 Marine Drive
Burnaby, BC
V5J 3G6, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,north-vancouver-british-columbia,https://directory.iglesianicristo.net/locales/north-vancouver-british-columbia,"North Lonsdale United Church (NLUC) Auditorium
3380 Lonsdale Ave,
North Vancouver, , British Columbia
V7N 3K2, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,prince-george-british-columbia,https://directory.iglesianicristo.net/locales/prince-george-british-columbia,"1905 Willow street,
Prince George, British Columbia
V2L 5E3, Canada"
western-canada,https://directory.iglesianicristo.net/districts/western-canada,prince-rupert-bc,https://directory.iglesianicristo.net/locales/prince-rupert-bc,"815 1st Avenue West
Prince Rupert, British Columbia
V8J 1B3, Canada"
